Land Use Code,Descr,Direct Chrg Class,Dwelling Type,Use Category,BOECategory,Is Apply Inflation,Status,DTS
3931,VINEYARD < 5 AC W/3 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
394,VINEYARD > 5 AC W/4 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3941,VINEYARD < 5 AC W/4 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
395,VINEYARD > 5 AC W/5 + SFRS,C,1.0,MF5R,1,A,2015-05-15,vpoli
3951,VINEYARD < 5 AC W/5 + SFRS,C,1.0,MF5R,1,A,2015-05-15,vpoli
40,VACANT LAND INDUSTRIAL,,3.0,VLCI,1,A,2021-08-12,Megabyte
4001,VACANT IND W/MISC IMPS,,3.0,VLCI,1,A,2021-08-12,Megabyte
41,INDUSTRIAL,D,3.0,ICI,1,A,2021-08-12,Megabyte
411,LIGHT INDUSTRIAL,D,3.0,ICI,1,A,2021-08-12,Megabyte
412,HEAVY INDUSTRIAL,D,3.0,ICI,1,A,2021-08-12,Megabyte
413,WAREHOUSE,D,3.0,ICI,1,A,2021-08-12,Megabyte
414,OFFICES INDUSTRIAL AREA,D,3.0,ICI,1,A,2021-08-12,Megabyte
42,WINERY,D,3.0,ORA,1,A,2021-08-12,Megabyte
421,WINERY/1 RES,,3.0,ORA,0,A,2021-08-12,Megabyte
4210,WINERY WITH VINEYARD,,3.0,ORA,1,A,2021-08-12,Megabyte
4211,WINERY/VINEYARD/1 RES,,3.0,ORA,1,A,2021-08-12,Megabyte
4212,WINERY/VINEYARD/2 SFRS,,3.0,ORA,1,A,2021-08-12,Megabyte
4213,WINERY/VINEYARD/3 SFRS,,3.0,ORA,1,A,2021-08-12,Megabyte
4214,WINERY/VINEYARD/4 SFRS,,3.0,ORA,1,A,2021-08-12,Megabyte
4215,WINERY/VINEYARD/5 + SFRS,,3.0,ORA,1,A,2021-08-12,Megabyte
4C12,INDUSTRIAL CONDO,,3.0,ICI,1,A,2021-08-12,Megabyte
50,VACANT LAND COMMERCIAL,,2.0,VLCI,1,A,2021-08-12,Megabyte
5001,VACANT COMM W/MISC IMP,,2.0,VLCI,1,A,2021-08-12,Megabyte
51,COMMERCIAL IMPROVED,D,2.0,ICI,1,A,2021-08-12,Megabyte
511,RETAIL,D,2.0,ICI,1,A,2021-08-12,Megabyte
512,OFFICE,D,2.0,ICI,1,A,2021-08-12,Megabyte
5121,MEDICAL OFFICE,D,2.0,ICI,1,A,2021-08-12,Megabyte
513,MOTEL - B & B,D,2.0,ICI,1,A,2021-08-12,Megabyte
514,AUTOMOBILE RELATED,D,2.0,ICI,1,A,2021-08-12,Megabyte
515,CELL TOWERS,,2.0,ICI,1,A,2021-08-12,Megabyte
5C12,COMMERCIAL CONDO,,2.0,ICI,1,A,2021-08-12,Megabyte
60,VACANT LAND VALUED BY S.B.E.,,0.0,OSM,1,A,2015-05-15,vpoli
61,IMPRVD LAND VALUED BY S.B.E.,,0.0,OSM,1,A,2015-05-15,vpoli
70,CONDOMIN/TOWNHOUSE COMMON AREA,,5.0,OSM,1,A,2015-05-15,vpoli
